QC,Acc
"['X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0']",0.74
"['X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm']",0.74
"['X', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0']",0.74
"['X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0']",0.74
"['X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0']",0.74
"['X', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0']",0.74
"['X', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0']",0.74
"['X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0']",0.74
"['Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0']",0.74
"['X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm']",0.74
"['X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', '0', '0', '0']",0.74
"['X', 'X', 'X', 'Xn', 'Xn', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
"['X', 'X', 'X', 'X', 'X', 'X', 'X', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xn', 'Xm', '0', '0', '0', '0', '0', '0', '0', '0']",0.74
